time,BDOT,RAIN,TS,SMELT,SUBLIM,SRHO
8/5/1980,0.00015478,0.008684005,270.2958333,15.91692588,0,555.9807296
8/6/1980,0,3.836662484,272.2333333,20.29042684,0,576.8227834
8/7/1980,0,18.27990414,273.15,15.05896177,0,589.6093358
8/8/1980,2.767237527,10.39055856,272.7854167,12.63199821,0,585.1810389
8/9/1980,0.241056515,3.536556139,271.9729167,13.53535684,0,589.2488222
8/10/1980,0.005298026,0.801126325,272.2541667,20.24048928,0,591.9456473
8/11/1980,0,3.87E-05,270.2020833,17.51289116,0,594.2196659
8/12/1980,0,1.975652986,270.86875,17.21602717,0,595.652857
8/13/1980,31.71032689,83.19441645,272.99375,10.47533734,0,565.120032
8/14/1980,40.29905807,2.101799788,272.24375,2.544658326,0,196.1975812
8/15/1980,0.761592835,2.486006146,270.0875,2.660509074,0,161.2144797
8/16/1980,23.35259813,1.747946674,271.7229167,1.425775104,0,165.5440522
8/17/1980,8.797973464,3.498804227,270.7125,7.753346593,0,163.6494338
8/18/1980,14.88951823,5.451618875,271.49375,0.524212677,0,168.2620147
8/19/1980,4.775797216,4.431247886,270.1083333,3.648825873,0,161.8109757
8/20/1980,46.50687225,1.347248186,269.8791667,0.399442235,0,141.9209548
8/21/1980,11.49457451,0.458307834,269.99375,1.679553045,0,142.6638959
8/22/1980,9.738271551,2.860697485,270.8270833,2.008513945,0,143.6866455
8/23/1980,0.685548989,0.616211792,265.8895833,5.334870963,0,159.6213213
8/24/1980,0.012408013,0.309153093,265.80625,11.60844582,0,170.2764203
8/25/1980,1.278676977,1.583996205,265.80625,4.317960357,0,180.4065574
8/26/1980,1.872349438,1.771226269,268.2020833,6.342500108,0,183.5976346
8/27/1980,0.98325778,0.721704693,267.18125,5.142964385,0,202.509873
8/28/1980,9.353924412,1.133425824,270.0979167,2.958016361,0,215.6148679
8/29/1980,2.301828242,4.364843382,269.4625,1.556185799,0,218.4952865
8/30/1980,0.447759179,0.134517664,266.275,5.226243172,0,223.9205606
8/31/1980,4.192421053,4.116704349,267.3583333,2.564472303,0,229.1881332
9/1/1980,38.63336271,1.775397589,267.8479167,1.023513515,0,198.8676994
9/2/1980,3.260122245,0,258.7541667,0.679243444,0,168.6900875
9/3/1980,14.0463313,0,262.74375,0.007241212,0,150.9990747
9/4/1980,1.295172452,0,261.7541667,0.369516286,0,143.1919953
9/5/1980,0.373401094,0,256.9729167,0.573517685,0,147.1700133
9/6/1980,0.49434043,0.024049553,260.4833333,1.080886667,0,151.0135977
9/7/1980,0.104304266,0.037913523,259.65,0.72106707,0,170.4212561
9/8/1980,0.195723284,0.094579496,263.8895833,0.667029862,0,192.5581269
9/9/1980,3.078026386,0.587326371,267.05625,0.502737509,0,197.0101618
9/10/1980,3.697853729,1.802173463,265.11875,0.695469718,0,199.0911912
9/11/1980,1.091773255,0.229322975,263.5458333,2.706222415,0,203.2953434
9/12/1980,4.391391088,1.26E-08,260.275,1.21777151,0,209.7152469
9/13/1980,39.06598963,0,269.775,0.049370993,0,172.0479468
9/14/1980,13.84032185,1.885686925,272.4520833,2.146014605,0,169.566654
9/15/1980,12.00326944,9.617255746,273.0875,4.120905126,0,174.3103327
9/16/1980,5.000088646,0.070832224,265.9729167,1.089369852,0,163.5842513
9/17/1980,0.033557316,0,256.1291667,0.679040483,0,168.4197727
9/18/1980,11.28089226,2.17E-16,260.0875,0.326065141,0,184.7415188
9/19/1980,15.16486296,0,264.3166667,0.109046785,0,167.0510555
9/20/1980,4.544092716,0,258.7333333,0.208643663,0,157.3794088
9/21/1980,6.152038958,0,261.2229167,0.05627893,0,158.3580336
